Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Hofors,2016,9564
"Invånare  totalt, antal",Huddinge,2010,97453
"Invånare  totalt, antal",Huddinge,2011,99049
"Invånare  totalt, antal",Huddinge,2012,101010
"Invånare  totalt, antal",Huddinge,2013,102557
"Invånare  totalt, antal",Huddinge,2014,104185
"Invånare  totalt, antal",Huddinge,2015,105311
"Invånare  totalt, antal",Huddinge,2016,107538
"Invånare  totalt, antal",Hudiksvall,2010,36849
"Invånare  totalt, antal",Hudiksvall,2011,36784
"Invånare  totalt, antal",Hudiksvall,2012,36821
"Invånare  totalt, antal",Hudiksvall,2013,36829
"Invånare  totalt, antal",Hudiksvall,2014,36924
"Invånare  totalt, antal",Hudiksvall,2015,36975
"Invånare  totalt, antal",Hudiksvall,2016,37299
"Invånare  totalt, antal",Hultsfred,2010,13696
"Invånare  totalt, antal",Hultsfred,2011,13515
"Invånare  totalt, antal",Hultsfred,2012,13550
"Invånare  totalt, antal",Hultsfred,2013,13635
"Invånare  totalt, antal",Hultsfred,2014,13738
"Invånare  totalt, antal",Hultsfred,2015,13919
"Invånare  totalt, antal",Hultsfred,2016,14607
"Invånare  totalt, antal",Hylte,2010,10177
"Invånare  totalt, antal",Hylte,2011,10126
"Invånare  totalt, antal",Hylte,2012,10032
"Invånare  totalt, antal",Hylte,2013,10001
"Invånare  totalt, antal",Hylte,2014,10278
"Invånare  totalt, antal",Hylte,2015,10514
"Invånare  totalt, antal",Hylte,2016,10954
"Invånare  totalt, antal",Håbo,2010,19629
"Invånare  totalt, antal",Håbo,2011,19715
"Invånare  totalt, antal",Håbo,2012,19883
"Invånare  totalt, antal",Håbo,2013,19968
"Invånare  totalt, antal",Håbo,2014,20034
"Invånare  totalt, antal",Håbo,2015,20279
"Invånare  totalt, antal",Håbo,2016,20737
"Invånare  totalt, antal",Hällefors,2010,7220
"Invånare  totalt, antal",Hällefors,2011,7140
"Invånare  totalt, antal",Hällefors,2012,6988
"Invånare  totalt, antal",Hällefors,2013,6982
"Invånare  totalt, antal",Hällefors,2014,6936
"Invånare  totalt, antal",Hällefors,2015,7032
"Invånare  totalt, antal",Hällefors,2016,7138
"Invånare  totalt, antal",Härjedalen,2010,10454
"Invånare  totalt, antal",Härjedalen,2011,10341
"Invånare  totalt, antal",Härjedalen,2012,10246
"Invånare  totalt, antal",Härjedalen,2013,10281
